name,latitude,longitude
Zehrerhof,48.85,13.31
Zehrensdorf,52.16,13.5
Zehren,52.89,11.62
Zehren,51.20,13.40
Zeholfing,48.68,12.76
Zehntel,50.80,13.32
Zehnruthenplan,52.4,13.28
Zehnmorgan,54.35,13.45
Zehnhausen bei Wallmerod,50.46,7.93
Zehnhausen bei Rennerod,50.65,8.06
Zehnebeck,53.21,14.04
Zehna,53.71,12.13
Zehmitz,51.65,12.11
Zehmigkau,51.72,12.09
Zehmen,53.82,11.03
Zehmen,51.23,12.40
Zehma,50.92,12.44
Zehlendorf,52.43,13.25
Zehlendorf,53.86,12.27
Zehlendorf,52.78,13.38
Zehista,50.93,13.92
Zehdorf,49.13,10.34
Zehdenick,52.97,13.33
Zehbitz,51.67,12.13
Zegast,50.20,11.64
Zeez,53.96,12.14
Zeetze,53.22,10.98
Zeetze,52.94,11.01
Zeestow,52.57,12.95
Zeesen,52.27,13.63
Zeegendorf,49.87,11.06
Zedtwitz,50.36,11.90
Zedtlitz,51.10,12.51
Zedlitz,50.81,12.03
Zedlig,51.36,14.77
Zedersitz,49.99,11.29
Zedersdorf,50.24,11.15
Zeddenick,52.13,11.89
Zeddenbach,51.21,11.75
Zedau,52.79,11.72
Zeckern,49.69,10.93
Zeckerin,51.71,13.63
Zeckendorf,49.95,11.05
Zeckenberg,49.96,11.93
Zechow,53.05,12.91
Zechlinerhütte,53.15,12.87
Zechlin Dorf,53.13,12.78
Zechiner Loose,52.62,14.45
Zechin,52.60,14.45
Zeche Waltrop,51.61,7.41
Zecherin,54.07,13.80
Zecherin,53.85,13.83
Zechenwihl,47.57,8.03
Zechenhäuser,50.63,11.46
Zechendorf,50.93,13.21
Zechenbach,50.35,12.39
Zechau,51.01,12.33
Zech,50.32,12.08
Zebelin,52.99,11.01
Zazenhausen,48.84,9.19
Zävertitz,51.20,13.03
Zavelstein,48.69,8.68
Zautendorf,49.44,10.82
Zaußwitz,51.33,13.19
Zauppenberg,49.82,11.37
Zaunswinkel,51.07,6.88
Zaunröden,51.33,10.48
Zaunhaus,50.73,13.7
Zaundorf,48.67,13.16
Zaumberg,47.58,10.19
Zaulsdorf,50.42,12.23
Zaugendorf,50.04,10.87
Zaue,52.04,14.18
Zauckerode,51.01,13.63
Zauchwitz,52.21,13.05
Zauche,51.92,13.70
Zaubach,49.70,7.42
Zatzschke,50.98,13.95
Zastler,47.92,7.98
Zaßnitz,51.05,12.8
Zasenbeck,52.67,10.85
Zaschwitz,51.57,11.80
Zaschwitz,51.24,12.83
Zaschwitz,51.17,13.04
Zaschendorf,53.69,11.60
Zaschendorf,51.15,13.50
Zaschendorf,51.11,11.97
Zaschendorf,51.01,13.91
Zartwitz,53.37,12.83
Zarten,47.97,7.94
Zarrenzin,54.43,13.00
Zarrentin,54.08,12.87
